,cumulative_susceptible,cumulative_infected,cumulative_dead,cumulative_recovered
155,318760980.0,6570007,194443,2474570.0
156,318699797.0,6609430,195646,2495127.0
157,318629933.0,6647887,196607,2525573.0
158,318568991.0,6693215,197460,2540334.0
159,318502497.0,6742685,198353,2556465.0
160,318437892.0,6785584,199078,2577446.0
161,318384914.0,6825080,199335,2590671.0
162,318307289.0,6877002,199760,2615949.0
163,318234997.0,6917253,200791,2646959.0
164,318172847.0,6955049,201848,2670256.0
165,318084496.0,7002580,202741,2710183.0
166,318013298.0,7055685,203682,2727335.0
167,317944117.0,7100978,204446,2750459.0
168,317889608.0,7139364,204748,2766280.0
169,317827495.0,7172804,205093,2794608.0
170,317763791.0,7216935,205969,2813305.0
171,317694705.0,7257669,206938,2840688.0
172,317628158.0,7303377,207815,2860650.0
173,317559386.0,7358592,208653,2873369.0
174,317485785.0,7407548,209345,2897322.0
175,317435186.0,7443401,209714,2911699.0
176,317371533.0,7483135,210190,2935142.0
177,317308123.0,7528606,210881,2952390.0
178,317209745.0,7578571,211789,2999895.0
179,317128646.0,7637331,212771,3021252.0
180,317053200.0,7693978,213733,3039089.0
181,316973511.0,7749120,214386,3062983.0
182,316915008.0,7795081,214834,3075077.0
183,316840682.0,7837366,215224,3106728.0
184,316769615.0,7889760,216032,3124593.0
185,316677745.0,7949438,217023,3155794.0
186,316590204.0,8014552,217847,3177397.0
187,316499883.0,8083801,218777,3197539.0
188,316419313.0,8140602,219512,3220573.0
189,316355758.0,8190142,219962,3234138.0
190,316248738.0,8258224,220435,3272603.0
191,316163092.0,8320401,221359,3295148.0
192,316071056.0,8383099,222491,3323354.0
193,315964055.0,8459525,223364,3353056.0
194,315857982.0,8542268,224323,3375427.0
195,315742890.0,8625196,225258,3406656.0
196,315663522.0,8687915,225685,3422878.0
197,315557877.0,8755472,226196,3460455.0
198,315451727.0,8833421,227186,3487666.0
199,315341423.0,8912225,228212,3518140.0
200,315212736.0,9003703,229225,3554336.0
201,315087956.0,9103330,230262,3578452.0
202,314963185.0,9193131,231206,3612478.0
203,314839564.0,9298152,231705,3630579.0
204,314708773.0,9384007,232239,3674981.0
205,314549342.0,9511696,233832,3705130.0
206,314405889.0,9615616,234968,3743527.0
207,314237018.0,9745085,236146,3781751.0
208,314078414.0,9873399,237396,3810791.0
209,313908725.0,10001300,238510,3851465.0
210,313754026.0,10125410,239073,3881491.0
211,313627991.0,10203318,239846,3928845.0
212,313448168.0,10348654,241305,3961873.0
213,313264728.0,10495303,242794,3997175.0
214,313044423.0,10660154,244167,4051256.0
215,312818936.0,10840552,245366,4095146.0
216,312596406.0,11008437,246713,4148444.0
217,312422408.0,11144637,247492,4185463.0
218,312199659.0,11307207,248323,4244811.0
219,311985222.0,11471106,250032,4293640.0
220,311753019.0,11644245,251947,4350789.0
221,311499606.0,11835685,254000,4410709.0
222,311251591.0,12034510,255969,4457930.0
223,310998787.0,12213922,257591,4529700.0
224,310854064.0,12360796,258627,4526513.0
225,310571840.0,12534832,259728,4633600.0
226,310331155.0,12710323,261858,4696664.0
227,310005995.0,12893929,264120,4835956.0
228,309856880.0,13006412,265505,4871203.0
229,309571105.0,13214388,267061,4947446.0
230,309338475.0,13370035,268427,5023063.0
231,309155174.0,13510327,269469,5065030.0
232,308912170.0,13670698,270813,5146319.0
233,308641025.0,13859037,273357,5226581.0
